指标,均值,标准差,最小值,最大值,变化范围
经验风险,1.92%,0.85%,0.79%,2.93%,2.14%
可行性率,100.0%,0.0%,100.0%,100.0%,0.0%
求解时间,13.0ms,0.0ms,13.0ms,13.0ms,0.0ms
跟踪误差,0.433m,0.017m,0.412m,0.457m,0.045m
校准误差,3.08%,0.85%,2.07%,4.21%,2.14%
