排序,参数,经验风险影响,跟踪误差影响,综合影响
1,τ (温度),2.14% (最大),0.045m,★★★★★
2,N (时域),1.33%,0.310m (最大),★★★★☆
3,M (窗口),0.24% (最小),0.071m,★★☆☆☆
