指标,均值,标准差,最小值,最大值,变化范围
经验风险,1.61%,0.10%,1.51%,1.75%,0.24%
可行性率,100.0%,0.0%,100.0%,100.0%,0.0%
求解时间,12.8ms,0.45ms,12.0ms,13.0ms,1.0ms
跟踪误差,0.426m,0.029m,0.394m,0.465m,0.071m
校准误差,3.39%,0.10%,3.25%,3.49%,0.24%
